product_name,email,price,quantity,sale_id,transaction_date,year_month_yy,store_id_corrected
Confiture Artisanale Abricot,non_renseignée,21.8,2,PA01240100001,2024-01-05,2401,PA01
Fromage de Chèvre Affiné,isabelle.dupont@gmail.com,18.2,1,PA02240100001,2024-01-12,2401,PA02
Huile d'Olive Extra Vierge Bio,non_renseignée,68.4,3,PA03240100001,2024-01-18,2401,PA03
Vin Rouge Bordeaux Supérieur 2018,non_renseignée,28.5,1,BO01240100001,2024-01-25,2401,BO01
Pâté de Campagne Traditionnel,thomas.lefebvre@yahoo.fr,31.5,2,BO02240100001,2024-01-03,2401,BO02
Miel de Lavande de Provence,non_renseignée,14.95,1,MO01240100001,2024-01-08,2401,MO01
Terrine de Foie Gras de Canard,non_renseignée,45.0,1,LY01240100001,2024-01-15,2401,LY01
Assortiment de Macarons,sophie.moreau@outlook.com,119.96,4,LY02240100001,2024-01-22,2401,LY02
Chocolat Noir 70% Madagascar,non_renseignée,37.5,3,MA01240100001,2024-01-29,2401,MA01
Coffret Découverte Thés Rares,non_renseignée,35.0,1,LI01240100001,2024-01-11,2401,LI01
Jambon Ibérique de Bellota,non_renseignée,360.0,2,RE01240100001,2024-01-06,2401,RE01
Caviar d'Aquitaine,non_renseignée,350.0,1,ST01240100001,2024-01-19,2401,ST01
Cidre Bouché Brut de Normandie,non_renseignée,15.8,1,CL01240100007,2024-01-19,2401,CL01
Olives Noires de Nyons AOP,non_renseignée,41.85,3,MO01240100002,2024-01-19,2401,MO01
Champagne Brut Millésimé,non_renseignée,85.0,1,CL01240100001,2024-01-27,2401,CL01
Truffes Noires du Périgord,non_renseignée,190.0,2,PA01240100002,2024-01-31,2401,PA01
Safran en Filaments,non_renseignée,48.0,1,PA02240100002,2024-01-16,2401,PA02
Huîtres Spéciales de Claire,non_renseignée,115.5,3,PA03240100002,2024-01-09,2401,PA03
Foie Gras d'Oie Entier,non_renseignée,62.0,1,BO01240100002,2024-01-23,2401,BO01
Confiture de Figues Violettes,non_renseignée,23.0,2,BO02240100002,2024-01-14,2401,BO02
Pain d'Épices Artisanal,non_renseignée,15.0,1,MO01240100002,2024-01-21,2401,MO01
Moutarde à l'Ancienne,non_renseignée,40.8,4,LY01240100002,2024-01-02,2401,LY01
Sel de Guérande,non_renseignée,8.9,1,LY02240100002,2024-01-30,2401,LY02
Vinaigre de Xérès,non_renseignée,19.5,1,MA01240100002,2024-01-17,2401,MA01
Olives Vertes de Provence,non_renseignée,21.0,2,LI01240100002,2024-01-28,2401,LI01
Rillettes de Canard,non_renseignée,14.25,1,RE01240100002,2024-01-04,2401,RE01
Comté 24 Mois d'Affinage,non_renseignée,32.7,1,ST01240100002,2024-01-20,2401,ST01
Roquefort AOP,non_renseignée,59.6,2,CL01240100002,2024-01-10,2401,CL01
Chorizo Ibérique,non_renseignée,17.9,1,PA01240100003,2024-01-24,2401,PA01
Saucisson Sec Artisanal,non_renseignée,48.0,3,PA02240100003,2024-01-07,2401,PA02
Crème de Cassis de Dijon,non_renseignée,52.5,3,PA03240100003,2024-01-09,2401,PA03
Brie de Meaux AOP,non_renseignée,21.5,1,BO01240100003,2024-01-27,2401,BO01
Saucisson Sec à la Truffe,non_renseignée,29.5,1,PA03240100004,2024-01-31,2401,PA03
Munster Fermier AOP,non_renseignée,24.3,1,BO02240100003,2024-01-24,2401,BO02
Vin Blanc Alsace Riesling,non_renseignée,25.75,1,MO01240100003,2024-01-13,2401,MO01
Vin Rouge Bourgogne Pinot Noir,non_renseignée,84.0,2,LY01240100003,2024-01-29,2401,LY01
Vin Rosé Côtes de Provence,non_renseignée,18.9,1,LY02240100003,2024-01-21,2401,LY02
Beaujolais Villages Nouveau,non_renseignée,16.5,1,MA01240100003,2024-01-11,2401,MA01
