"sale_id","transaction_date","product_id","customer_id","customer_last_name","customer_first_name","customer_email","customer_address","customer_phone","email_optin","sms_optin"
"S3h8c4","2024-01-19","P789012","5048269","Martin","Chloé","chloe.martin@yahoo.fr","8 Avenue Foch, 75116 Paris","0654321098","false","true"
"S6k3j9","2024-01-08","P502618","1927358","Dubois","Marie","marie.dubois@free.fr","4 Rue de la Paix, 75002 Paris","0789012345","true","true"
"Sc9a5d","2024-01-15","P317496","3164057","Lefebvre","Thomas","thomas.lefebvre@yahoo.fr","22 Avenue des Champs-Élysées, 75008 Paris","0198765432","true","true"
"S9v5w8","2024-01-05","P835027","6719035","Petit","Camille","camille.petit@outlook.com","27 Rue Saint-Honoré, 75001 Paris","0134567890","false","false"
"Sr8m5n","2024-01-11","P659104","4051729","Fournier","Céline","celine.fournier@gmail.com","18 Rue du Temple, 75004 Paris","0623456789","true","false"
"Sj9x3f","2024-01-01","P624078","9348523","Leclerc","Océane","oceane.leclerc@outlook.com","10 Rue de l'Odéon, 75006 Paris","0144556677","false","false"
"S5u6a7","2024-01-13","P294857","8123497","Girard","Laura","laura.girard@sfr.fr","6 Rue Royale, 75008 Paris","0776543210","false","true"
"Si1h5n","2024-01-27","P345678","1024579","McCarthy","Saoirse","saoirse.mc@outlook.com","61 Rte de Pommard, 21200 Beaune","0645309195","false","false"
"Sm3q1z","2024-01-30","P295186","1002349","Giraud","Maëva","maeva.giraud@sfr.fr","32 Av. Paul Chandon, 51200 Épernay","0622546971","false","true"
"S2q7o1","2024-01-10","P678901","6830542","Durand","Julie","julie.durand@free.fr","3 Rue de l'Université, 75007 Paris","0798765432","false","false"
"S4o3z6","2024-01-06","P864205","9725130","Leroux","Inès","ines.leroux@free.fr","28 Rue Jacob, 75006 Paris","0789012345","false","false"
"S8n5b2","2024-01-14","P987654","1093586","Chevalier","Manon","manon.chevalier@yahoo.fr","4 Rue des Beaux-Arts, 75006 Paris","0678901234","false","false"
"S8b1c2","2024-01-03","P729345","8275941","Dupont","Isabelle","isabelle.dupont@gmail.com","9 Rue de Rivoli, 75001 Paris","0612345678","true","false"
"S5x9v3","2024-01-02","P567890","7502416","Lindström","Freya","freya.lindstrom@gmail.com","23 Rue Boieldieu, 34500 Béziers","0785146502","false","false"
"Sp5n9q","2024-01-28","P915836","8562049","Boucher","Léa","lea.boucher@gmail.com","17 Rue de Seine, 75006 Paris","0612345678","false","true"
"S7k4m9","2024-02-04","P192964","4051729","Fournier","Céline","celine.fournier@gmail.com","18 Rue du Temple, 75004 Paris","0623456789","true","false"
"Sb9v7h","2024-02-01","P969747","4283615","Lemoine","Sarah","sarah.lemoine@gmail.com","11 Rue de Vaugirard, 75006 Paris","0611223344","true","false"
"S1g7h2","2024-02-02","P736294","7534002","Lefebvre","Ouran","Ouran.lefebvre@yahoo.fr","12 Rue Jules Supervielle, 24330 Boulazac Isle Manoire","0745918801","true","true"
"Sp1n5q","2024-02-23","P633087","8275941","Dupont","Isabelle","isabelle.dupont@gmail.com","9 Rue de Rivoli, 75001 Paris","0612345678","false","true"
